code,name,latitude,longitude,border
1,BBAKD01,21.647778,92.307806,0
2,BBAKD02,21.696396,92.251854,0
3,BBAKD02,21.6964,92.25185,0
4,BBAKD03,21.652556,92.319861,0
5,BBAKD03,21.652559,92.319865,0
6,BBLMA01,21.777386,92.194892,0
7,BBLMA01,21.777389,92.194889,0
8,BBLMA02,21.753528,92.213444,0
9,BBLMA04,21.852417,92.179611,0
10,BBLMA05,21.927747,92.194388,0
11,BBLMA05,21.92775,92.194389,0
12,BBLMA07,21.7444,92.2563,0
13,BBLMA09,21.921973,92.216699,0
14,BBLMA10,21.990726,92.206335,0
15,BBLMA11,21.685791,92.103807,0
16,BBLMA12,21.895179,92.192529,0
17,BBNKC01,21.426637,92.176413,0
18,BBNKC02,21.511575,92.17446,0
19,BBNKC02,21.511566,92.17446,0
20,BBNKC05,21.57749,92.179263,0
21,BBRMA01,22.047556,92.396417,0
22,BBRNC01,22.194389,92.223139,0
23,BBRNC01,22.194385,92.223142,0
24,BBRNC02,22.187583,92.226833,0
25,BBRNC02,22.187582,92.226836,0
26,BBRNC03,22.167722,92.210444,0
27,BBRNC03,22.16772,92.210447,0
28,BBRNC04,22.058528,92.271556,0
29,BBRNC04,22.058531,92.271558,0
30,BBRNC05,22.170833,92.338194,0
31,BBRNC06,22.240917,92.288417,0
32,BBSDR01,22.191942,92.215831,0
33,BBSDR02,22.19762,92.218995,0
34,BBSDR02,22.197617,92.218991,0
35,BBSDR03,22.214,92.210278,0
36,BBSDR04,22.341722,92.194389,0
37,BBSDR04,22.341731,92.194389,0
38,BBSDR05,22.206086,92.266414,0
39,BBSDR06,22.256389,92.156056,0
40,BBSDR06,22.256386,92.156052,0
41,BBSDR06,22.25638,92.156046,0
42,BBSDR07,22.164583,92.176111,0
43,BBSDR09,22.13819,92.17859,0
44,BBTCI01,21.817759,92.44374,0
45,BBTCI01,21.81775,92.44375,0
46,BBTCI02,21.905333,92.323778,0
47,BBTCI03,21.885572,92.393726,0
48,BBTCI03,21.88557,92.39373,0
49,BHBRN01,22.501483,90.715162,0
50,BHBRN02,22.456282,90.773165,0
51,BHBRN03,22.485692,90.769336,0
52,BHBRN04,22.424553,90.699031,0
53,BHBRN05,22.427517,90.768752,0
54,BHBRN05,22.427523,90.768748,0
55,BHBRN06,22.471998,90.800775,0
56,BHBRN07,22.488167,90.745056,0
57,BHBRN09,22.459997,90.683049,0
58,BHBRN10,22.535811,90.724152,0
59,BHBRN11,22.462155,90.726212,0
60,BHBRN13,22.449944,90.741331,0
61,BHCFN01,22.187888,90.757578,0
62,BHCFN01,22.187887,90.757571,0
63,BHCFN02,22.10381,90.709668,0
64,BHCFN02,22.103797,90.709667,0
65,BHCFN02,22.103806,90.709667,0
66,BHCFN03,22.027203,90.682333,0
67,BHCFN03,22.027198,90.682332,0
68,BHCFN04,22.19372,90.673192,0
69,BHCFN07,22.102889,90.763085,0
70,BHCFN08,22.148639,90.744056,0
71,BHCFN09,22.162805,90.788719,0
72,BHCFN10,22.159917,90.652667,0
73,BHCFN15,22.238063,90.704426,0
74,BHCFN16,22.073383,90.674616,0
75,BHCFN17,22.013121,90.632299,0
76,BHCFN18,22.061548,90.609612,0
77,BHCFN20,22.206451,90.795751,0
78,BHCFN21,22.157367,90.683842,0
79,BHCFN22,22.13018,90.709358,0
80,BHCFN23,22.062559,90.713791,0
81,BHCFN24,22.179127,90.713858,0
82,BHCFN25,22.205899,90.711941,0
83,BHCFN26,22.108592,90.640807,0
84,BHCFN27,22.23431,90.74963,0
85,BHDLT01,22.60069,90.74654,0
86,BHDLT01,22.600687,90.746539,0
87,BHDLT02,22.625137,90.661636,0
88,BHDLT02,22.625139,90.661639,0
89,BHDLT03,22.606889,90.714657,0
90,BHDLT04,22.562852,90.714917,0
91,BHDLT06,22.632046,90.696086,0
92,BHDLT07,22.58605,90.743503,0
93,BHDLT08,22.59541,90.689335,0
94,BHLMN01,22.341293,90.732071,0
95,BHLMN02,22.268137,90.811136,0
96,BHLMN02,22.268139,90.811129,0
97,BHLMN03,22.268111,90.709861,0
98,BHLMN03,22.268115,90.709859,0
99,BHLMN04,22.34306,90.82264,0
100,BHLMN04,22.343051,90.822638,0
101,BHLMN05,22.391141,90.753303,0
102,BHLMN05,22.391136,90.753308,0
103,BHLMN06,22.35075,90.684443,0
104,BHLMN07,22.346583,90.770139,0
105,BHLMN09,22.290207,90.750952,0
106,BHLMN10,22.316041,90.819061,0
107,BHLMN12,22.262999,90.746828,0
108,BHMNP01,22.260489,90.972622,0
109,BHMNP02,22.326915,90.979029,0
110,BHMNP03,22.178778,90.940889,0
111,BHMNP05,22.145332,90.927492,0
112,BHSDR01,22.683155,90.645797,0
113,BHSDR02,22.588281,90.65617,0
114,BHSDR03,22.733193,90.62086,0
115,BHSDR03,22.733194,90.620861,0
